route,party name
KOKRAYANPETAI,MANI MALIGAI
KOKRAYANPETAI,SRI MURUGAN STORES
KOKRAYANPETAI,NELLAI POWN MALIGAI
KOKRAYANPETAI,MRV MALIGAI
KOKRAYANPETAI,SRI IYANGAR BAKERY K
PATTARIMEDU,KANTHASAMY TEA STAL
SIDTHA LANTHUR,BATHMA MALIGAI
SIDTHA LANTHUR,KANDASAMY MALIGAI S
PATTARIMEDU,BUSHRA AGENCY
SOLASIRAMANI MOLASI,THAN VANYHIRI
NORTH CAR STREET,SRI RAMDSVE GIFT HOUS
BUSTANT,BABA COOLDRINGS
KANTHAM PALAYAM,KURINJI BAKERYM
KOOTAPPALLI,RAGMAN STORES
VELLORE ROAD,MALAR HOTEL
MANIKAM PALAYAM,MURUGAN MALIGAIM
WEST CAR STREET,KUNA BEETA STAL
KOKRAYANPETAI,MATHAN MALIGAI
KUMARAMANGALAM,ASR MALIGAI
KUMARAMANGALAM,MAHENDRA WOMAN COLLEGE
PATTARIMEDU,MAYURA BAKERY
PUTHOOR THONDIKAD,KRISNAVENI MALIGAI
ELACHIPALAYAM,NIKSANA MEDICAL
KUMARAMANGALAM,MALAR MALIGAIK
KUMARAMANGALAM,STAR BAKERY
ELACHIPALAYAM,BEMAS BAKERY EP
ELACHIPALAYAM,SRI AMMAN IYANGAR
MANIKAM PALAYAM,JKS MALIGAI
KOOTAPPALLI,KANAGAM STORES
SIDTHA LANTHUR,SKM  TES STAL
VELLORE ROAD,TOCOBAY STORES
MORE PALAYAM,MPM MALIGAI
KANTHAM PALAYAM,THANALECHIMI MAIIGAI
SOUTH CAR STREET,FLAVARKING COOL
PATTARIMEDU,KOVAI BAKERY PALMADAI
SOLASIRAMANI MOLASI,THREE STAR BAKERYS
KANTHAM PALAYAM,THURAI MALIGAI
THOKAVADI,SANTHIYA MALIGAI
KOKRAYANPETAI,PSI BAKERY
ERODE ROAD,S S MALIGAI
SANGAGIRI ROAD,NALAM MEDICAL
KOKRAYANPETAI,NEELAGIRI STORES ONE
SOUTH CAR STREET,SRI.BUVANESWARI.STORES
PATTARIMEDU,INDIAN DIPPARTMENT RS
KOKRAYANPETAI,KURINJI BAKERYK
SIDTHA LANTHUR,KRISHNA POO KADAI
COLONY,NELLAI MURUGAN MALIGAI
SANTHAPETTAI,SRI AMMAN MALIGAI
SOLASIRAMANI MOLASI,VICNESHVARA BISCUIT STAL
ELACHIPALAYAM,NEW NELLAI STORES
MORE PALAYAM,APOORVA MALIGAI
SANGAGIRI ROAD,BLUCK BACKS TEA STAL
SIDTHA LANTHUR,BOOJA STORES
KOLIKALNATHAM ROAD,LACKY STORES SP
SALEM ROAD,AMUTHAM MALIGAI
