id,route,party name
480,THOKAVADI,VINAYAGA MALIGAI
481,THOKAVADI,MEENACHI MALIGAI T
482,MANIKAM PALAYAM,SPK STORES
483,SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAIE
484,NORTH CAR STREET,BEST ENTERPRISES
485,SOLASIRAMANI MOLASI,SRI VINAYAGA DIPPARTMENT
486,ANNANAGAR SPP COLNY,DAMEGE
487,SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAI
488,ANNANAGAR SPP COLNY,NELLAI JKB MALIGAII
489,THOKAVADI,KOBIGA DIPPARTMEND
490,DEVANAKURUCHI,ARUN MALIGAI
491,KOKRAYANPETAI,KOIL KADAI
492,KOKRAYANPETAI,MUGAVAI MALIGAIK
493,VELLORE ROAD,ABU MALIGAI
494,SANTHAPETTAI,FRANCE BAKERY
495,VELLORE ROAD,SANTHIYA BAKERI
496,ANNANAGAR SPP COLNY,MATHI IYANGAR BAKERY
497,PATTARIMEDU,BALUSAMY MALIGAI
498,DEVANAKURUCHI,NANDHI STORES
499,ANNANAGAR SPP COLNY,MAIN STOCK2
500,THOKAVADI,KAVITHA MALIGAI
501,SOLASIRAMANI MOLASI,SRI VINAYAGA MEDICALS
502,ANNANAGAR SPP COLNY,SELVI STORES
503,ELACHIPALAYAM,NAZRINE MALIGAI
504,SIDTHA LANTHUR,SENTHUR DIPPARTMENT
505,ELACHIPALAYAM,NISHA MALIGAI
506,THOKAVADI,MURUGAN TEA STAL
507,KUMARAMANGALAM,SRS MART
508,SOLASIRAMANI MOLASI,SELVAVINAYAGA MALIGAI
509,SOLASIRAMANI MOLASI,SIVASAKTHI SSS BAKERY
510,ELACHIPALAYAM,SS BAKERY
511,ANNANAGAR SPP COLNY,CHENNAI HAT POPS
512,ETTIMADI,RATHNAVEL MALIGAI
513,KANTHAM PALAYAM,NEW NITHYANANDAN STORES
514,ANNANAGAR SPP COLNY,RAMASAMY MALIGAI SPP
515,KUMARAMANGALAM,JEYAHASINI MALIGAI
516,PATTARIMEDU,AS MALIGAI
